form-button-edit;Edit
workshop-location-delete:title;Delete Location
workshop-location-delete:header;You are about to delete the location: %1$s
workshop-location-details:linkBack;Back to All Labs
workshop-location-details:maxStudents;Maximum Number of Students:
workshop-schedule-index:title;Schedule Workshops
workshop-schedule-index:linkCreate;Create New Event
workshop-schedule-index:filterLocation;Filter by Location:
workshop-schedule-index:allLocations;All Locations
workshop-schedule-index:jan;January
workshop-schedule-index:feb;February
workshop-schedule-index:mar;March
workshop-schedule-index:apr;April
workshop-schedule-index:may;May
workshop-schedule-index:jun;June
workshop-schedule-index:jul;July
workshop-schedule-index:aug;August
workshop-schedule-index:sep;September
workshop-schedule-index:oct;October
workshop-schedule-index:nov;November
workshop-schedule-index:dec;December
workshop-schedule-index:jump;Jump to Date:
workshop-schedule-editEvent:title;Edit Event
workshop-schedule-editEvent:header;Use this page to make any desired changes to the event.
workshop-schedule-addEvent:title;Add New Event
workshop-schedule-addEvent:header;Enter the information for the event you would like to add to the schedule.  Fields marked with an asterisk are required.
workshop-schedule-cancelEvent:title;Cancel Event
workshop-schedule-cancelEvent:header;You are about to delete the event: %1$s taking place on <b>%2$s</b> at <b>%3$s</b>.
workshop-schedule-cancelEvent:cancel;Yes, Cancel
workshop-schedule-eventDetails:linkEdit;Edit Event
workshop-schedule-eventDetails:linkCancel;Cancel Event
workshop-schedule-eventDetails:linkSignup;Signup For Event
workshop-schedule-eventDetails:linkLeave;Cancel Reservation
workshop-schedule-eventDetails:linkTools;Instructor Tools
workshop-schedule-eventDetails:workshopDetails;Workshop Details
workshop-schedule-eventDetails:prerequisites;Pre-requisites:
workshop-schedule-eventDetails:description;Description:
workshop-schedule-eventDetails:more;More...
workshop-signup-index:signupFor;Signup for %1$s
workshop-signup-cancel:cancel;Yes, Cancel My Reservation
workshop-signup-cancel:keep;No, Keep My Reservation
workshop-signup-cancel:header;Cancel Reservation for  
workshop-signup-cancel:sure;Are you sure you want to cancel?
workshop-signup-cancel:unable;You are not allowed to cancel your reservation this close to the event.
workshop-signup-cancel:leaveAttending;Canceling your reservation will remove you from the workshop role and give your seat to the next person on the waitlist.
workshop-signup-cancel:leaveWaitlist;Removing yourself from the waitlist will mean you will not be automatically put into this workshop, should a spot become available.
workshop-signup-cancel:sureCancel;Are you sure you wish to cancel your reservation?
workshop-signup-index:header;Signup for 
workshop-signup-index:instructor;You are set as an instructor for this workshop, therefore you do not need to sign up.
workshop-signup-index:instructorTools;To access instructor options such as evaluation results, workshop roles, and notification options, <a href="%1$s/workshop/instructor/?eventId=%2$s">click here</a> to access the Instructor Tools.
workshop-signup-index:alreadySignedUp;You are already signed up for this workshop.
workshop-signup-index:accessReservation;You can access your reservation from the homepage.
workshop-signup-index:alreadyWaitlisted;You are on the waitlist for this workshop.
workshop-signup-index:accessWaitlist;You are on the waitlist for this workshop.  Once a spot becomes available, you will be automatically put into the workshop.  You can access your reservation from the homepage.
workshop-signup-index:accessRestricted;Access to this workshop is restricted.
workshop-signup-index:restricted;This workshop has restricted its access to a certain list of people.  If you would still like to attend this workshop, you can try one of the other times this workshop is offered.
workshop-signup-index:confirm;Please confirm the following information is correct, and that you have any required pre-requisites to take this workshop.
workshop-signup-index:onlyWaitlist;Only a waitlist spot is currently available.
workshop-signup-index:seatsTaken;Currently, all %1$s seats are taken in this workshop.  However, there are %2$s waitlist spots available.  If someone already enrolled cancels before the workshop starts, you will automatically be put into the workshop.
workshop-signup-index:full;We're sorry, this workshop is currently full.
workshop-signup-index:tryAgain;If you would still like to attend this workshop, you can try one of the other times this workshop is offered.
workshop-signup-index:linkAttend;Sign-Up To Attend Now!
workshop-signup-index:linkWaitlist;Sign-Up for the Waitlist Now!
workshop-signup-index:linkCancel;Cancel, Go Back
msg-error-accountNotFound;The account requested was not found.
msg-error-notLoggedIn;This page cannot be accessed unless you are logged in.
msg-error-formSubmitProblem;There was an error submitting the form.
msg-error-eventIdNotSet;Event ID not set.
msg-error-accountIdNotSet;Account ID not set.
msg-error-workshopIdNotSet;Workshop ID not set in query string.
msg-error-workshopIdsNotSet;Workshop ID not set.
msg-error-workshopDocIdNotSet;Workshop Document ID not set in query string.
